Z75	शून्य सात पाँच
251O4	दो पाँच एक शून्य चार
437OO	चार तीन सात शून्य शून्य
446	चार चार छः
3	तीन
4	चार
6	छः
2	दो
2OO1O83	दो शून्य शून्य एक शून्य आठ तीन
9Z7Z	नौ शून्य सात शून्य
56	पाँच छः
5	पाँच
179O7	एक सात नौ शून्य सात
1736Z	एक सात तीन छः शून्य
779	सात सात नौ
O97	शून्य नौ सात
1528	एक पाँच दो आठ
Z236	शून्य दो तीन छः
O	शून्य
54	पाँच चार
O8448	शून्य आठ चार चार आठ
Z811	शून्य आठ एक एक
92	नौ दो
Z	शून्य
59	पाँच नौ
451	चार पाँच एक
26	दो छः
81465O1	आठ एक चार छः पाँच शून्य एक
Z	शून्य
O6169	शून्य छः एक छः नौ
6	छः
75942	सात पाँच नौ चार दो
213OO	दो एक तीन शून्य शून्य
7712719	सात सात एक दो सात एक नौ
7Z5	सात शून्य पाँच
64122Z1	छः चार एक दो दो शून्य एक
6547	छः पाँच चार सात
4ZZ6432	चार शून्य शून्य छः चार तीन दो
O37	शून्य तीन सात
OO	शून्य शून्य
9731925	नौ सात तीन एक नौ दो पाँच
8	आठ
Z9485	शून्य नौ चार आठ पाँच
7	सात
Z96	शून्य नौ छः
3	तीन
8O53	आठ शून्य पाँच तीन
58	पाँच आठ
7	सात
633Z	छः तीन तीन शून्य
9	नौ
9	नौ
3ZZ	तीन शून्य शून्य
96	नौ छः
76O35	सात छः शून्य तीन पाँच
1O2	एक शून्य दो
8613	आठ छः एक तीन
2	दो
8	आठ
632O6	छः तीन दो शून्य छः
O	शून्य
14	एक चार
24O	दो चार शून्य
31Z	तीन एक शून्य
55Z68Z3	पाँच पाँच शून्य छः आठ शून्य तीन
33	तीन तीन
4727	चार सात दो सात
Z63	शून्य छः तीन
1	एक
OO969	शून्य शून्य नौ छः नौ
4	चार
282O343	दो आठ दो शून्य तीन चार तीन
O18	शून्य एक आठ
5	पाँच
31	तीन एक
2411	दो चार एक एक
Z9	शून्य नौ
3	तीन
914	नौ एक चार
4	चार
6	छः
64O8	छः चार शून्य आठ
2	दो
44823	चार चार आठ दो तीन
Z2	शून्य दो
OO42	शून्य शून्य चार दो
7O6	सात शून्य छः
81	आठ एक
2935Z8Z	दो नौ तीन पाँच शून्य आठ शून्य
8O3O511	आठ शून्य तीन शून्य पाँच एक एक
5	पाँच
833O4	आठ तीन तीन शून्य चार
1532O	एक पाँच तीन दो शून्य
22	दो दो
686	छः आठ छः
47O6O	चार सात शून्य छः शून्य
94Z9Z	नौ चार शून्य नौ शून्य
531Z766	पाँच तीन एक शून्य सात छः छः
659O8	छः पाँच नौ शून्य आठ
O	शून्य
425OO79	चार दो पाँच शून्य शून्य सात नौ
5Z25	पाँच शून्य दो पाँच
5578	पाँच पाँच सात आठ
338	तीन तीन आठ
Z	शून्य
922ZZZ6	नौ दो दो शून्य शून्य शून्य छः
Z3	शून्य तीन
7794971	सात सात नौ चार नौ सात एक
8Z	आठ शून्य
212	दो एक दो
Z	शून्य
6	छः
1Z17	एक शून्य एक सात
1363	एक तीन छः तीन
6Z	छः शून्य
4O57	चार शून्य पाँच सात
7Z5	सात शून्य पाँच
69O721O	छः नौ शून्य सात दो एक शून्य
52Z	पाँच दो शून्य
812	आठ एक दो
OO	शून्य शून्य
8	आठ
7	सात
3	तीन
95674	नौ पाँच छः सात चार
3664	तीन छः छः चार
156267Z	एक पाँच छः दो छः सात शून्य
7	सात
39834	तीन नौ आठ तीन चार
5454846	पाँच चार पाँच चार आठ चार छः
173Z1	एक सात तीन शून्य एक
373Z	तीन सात तीन शून्य
9	नौ
9	नौ
O1	शून्य एक
Z5168	शून्य पाँच एक छः आठ
9145289	नौ एक चार पाँच दो आठ नौ
2	दो
8	आठ
O	शून्य
74	सात चार
7246	सात दो चार छः
435	चार तीन पाँच
949	नौ चार नौ
Z59	शून्य पाँच नौ
8476	आठ चार सात छः
6989326	छः नौ आठ नौ तीन दो छः
1	एक
Z6	शून्य छः
O474OOO	शून्य चार सात चार शून्य शून्य शून्य
4	चार
73	सात तीन
5	पाँच
Z7Z1	शून्य सात शून्य एक
186	एक आठ छः
9161165	नौ एक छः एक एक छः पाँच
3Z2Z348	तीन शून्य दो शून्य तीन चार आठ
3	तीन
43882	चार तीन आठ आठ दो
145	एक चार पाँच
71996	सात एक नौ नौ छः
85	आठ पाँच
4	चार
6	छः
2	दो
5342O	पाँच तीन चार दो शून्य
8852	आठ आठ पाँच दो
5O	पाँच शून्य
5	पाँच
25Z	दो पाँच शून्य
74568	सात चार पाँच छः आठ
2Z	दो शून्य
8O31O67	आठ शून्य तीन एक शून्य छः सात
41O9	चार एक शून्य नौ
94O8	नौ चार शून्य आठ
391O	तीन नौ एक शून्य
233	दो तीन तीन
9ZZZ	नौ शून्य शून्य शून्य
7224953	सात दो दो चार नौ पाँच तीन
O	शून्य
76873	सात छः आठ सात तीन
Z125	शून्य एक दो पाँच
66	छः छः
5Z8	पाँच शून्य आठ
Z	शून्य
O5183	शून्य पाँच एक आठ तीन
61355OO	छः एक तीन पाँच पाँच शून्य शून्य
217	दो एक सात
Z	शून्य
6	छः
6282	छः दो आठ दो
11322	एक एक तीन दो दो
9275815	नौ दो सात पाँच आठ एक पाँच
O566	शून्य पाँच छः छः
3Z9Z46Z	तीन शून्य नौ शून्य चार छः शून्य
3775512	तीन सात सात पाँच पाँच एक दो
442Z6	चार चार दो शून्य छः
57954	पाँच सात नौ पाँच चार
8	आठ
7	सात
3	तीन
O29	शून्य दो नौ
58	पाँच आठ
7	सात
3O8	तीन शून्य आठ
297989Z	दो नौ सात नौ आठ नौ शून्य
9	नौ
9	नौ
43	चार तीन
6571	छः पाँच सात एक
1Z	एक शून्य
41527	चार एक पाँच दो सात
2	दो
8	आठ
O17	शून्य एक सात
O	शून्य
14	एक चार
86Z99	आठ छः शून्य नौ नौ
Z8	शून्य आठ
97	नौ सात
8112142	आठ एक एक दो एक चार दो
32ZZ73Z	तीन दो शून्य शून्य सात तीन शून्य
69	छः नौ
3Z325	तीन शून्य तीन दो पाँच
55Z8	पाँच पाँच शून्य आठ
OOO1575	शून्य शून्य शून्य एक पाँच सात पाँच
1	एक
O2852	शून्य दो आठ पाँच दो
Z9Z4	शून्य नौ शून्य चार
76	सात छः
4	चार
5	पाँच
36	तीन छः
315	तीन एक पाँच
ZZ92	शून्य शून्य नौ दो
ZZ67728	शून्य शून्य छः सात सात दो आठ
6Z5	छः शून्य पाँच
O71	शून्य सात एक
3	तीन
4	चार
6	छः
2	दो
Z2	शून्य दो
7O88	सात शून्य आठ आठ
5Z1Z295	पाँच शून्य एक शून्य दो नौ पाँच
63559	छः तीन पाँच पाँच नौ
5	पाँच
4992	चार नौ नौ दो
7OO6	सात शून्य शून्य छः
41	चार एक
94Z5Z65	नौ चार शून्य पाँच शून्य छः पाँच
8631475	आठ छः तीन एक चार सात पाँच
58O5	पाँच आठ शून्य पाँच
8695	आठ छः नौ पाँच
O9339	शून्य नौ तीन तीन नौ
O	शून्य
476ZZ74	चार सात छः शून्य शून्य सात चार
1O46O58	एक शून्य चार छः शून्य पाँच आठ
Z	शून्य
45334	चार पाँच तीन तीन चार
37113	तीन सात एक एक तीन
297Z	दो नौ सात शून्य
93623	नौ तीन छः दो तीन
Z	शून्य
6	छः
21617Z8	दो एक छः एक सात शून्य आठ
799O4	सात नौ नौ शून्य चार
137	एक तीन सात
94	नौ चार
18	एक आठ
617	छः एक सात
22Z	दो दो शून्य
8	आठ
726	सात दो छः
7	सात
3	तीन
822	आठ दो दो
67	छः सात
7	सात
9	नौ
9	नौ
527	पाँच दो सात
243	दो चार तीन
23Z	दो तीन शून्य
96	नौ छः
1838512	एक आठ तीन आठ पाँच एक दो
1916	एक नौ एक छः
4Z	चार शून्य
2	दो
8	आठ
8O391	आठ शून्य तीन नौ एक
O	शून्य
5734	पाँच सात तीन चार
Z19Z3	शून्य एक नौ शून्य तीन
O681O	शून्य छः आठ एक शून्य
862O6	आठ छः दो शून्य छः
38987	तीन आठ नौ आठ सात
1	एक
87324	आठ सात तीन दो चार
9574	नौ पाँच सात चार
4	चार
5	पाँच
26Z	दो छः शून्य
7481Z25	सात चार आठ एक शून्य दो पाँच
5Z77	पाँच शून्य सात सात
711348O	सात एक एक तीन चार आठ शून्य
16755	एक छः सात पाँच पाँच
O3	शून्य तीन
91	नौ एक
6O61	छः शून्य छः एक
3	तीन
689Z573	छः आठ नौ शून्य पाँच सात तीन
4	चार
6	छः
2	दो
71	सात एक
22123	दो दो एक दो तीन
5	पाँच
46	चार छः
OO4	शून्य शून्य चार
ZZZ4	शून्य शून्य शून्य चार
Z34	शून्य तीन चार
O	शून्य
92	नौ दो
66	छः छः
4226381	चार दो दो छः तीन आठ एक
Z	शून्य
66454	छः छः चार पाँच चार
59	पाँच नौ
58O	पाँच आठ शून्य
Z	शून्य
6	छः
4915	चार नौ एक पाँच
51178	पाँच एक एक सात आठ
O75O288	शून्य सात पाँच शून्य दो आठ आठ
1885O29	एक आठ आठ पाँच शून्य दो नौ
841O	आठ चार एक शून्य
79	सात नौ
65O1	छः पाँच शून्य एक
827	आठ दो सात
47972	चार सात नौ सात दो
Z944	शून्य नौ चार चार
2Z62	दो शून्य छः दो
8684	आठ छः आठ चार
8	आठ
7	सात
O4614OO	शून्य चार छः एक चार शून्य शून्य
3	तीन
7	सात
32Z18ZZ	तीन दो शून्य एक आठ शून्य शून्य
9296782	नौ दो नौ छः सात आठ दो
3Z335	तीन शून्य तीन तीन पाँच
3O	तीन शून्य
9	नौ
9	नौ
43	चार तीन
527	पाँच दो सात
728	सात दो आठ
169	एक छः नौ
21	दो एक
1556Z	एक पाँच पाँच छः शून्य
O83O365	शून्य आठ तीन शून्य तीन छः पाँच
2	दो
8	आठ
O	शून्य
141	एक चार एक
Z19	शून्य एक नौ
36OO964	तीन छः शून्य शून्य नौ छः चार
231O8	दो तीन एक शून्य आठ
931	नौ तीन एक
Z7Z2	शून्य सात शून्य दो
755O5	सात पाँच पाँच शून्य पाँच
9527884	नौ पाँच दो सात आठ आठ चार
1	एक
ZZ	शून्य शून्य
31O	तीन एक शून्य
26287	दो छः दो आठ सात
7933	सात नौ तीन तीन
O97O	शून्य नौ सात शून्य
ZZ738	शून्य शून्य सात तीन आठ
4	चार
916	नौ एक छः
1ZZZ1	एक शून्य शून्य शून्य एक
3O27469	तीन शून्य दो सात चार छः नौ
5	पाँच
4O6O	चार शून्य छः शून्य
11OO7	एक एक शून्य शून्य सात
8968358	आठ नौ छः आठ तीन पाँच आठ
1849965	एक आठ चार नौ नौ छः पाँच
1249267	एक दो चार नौ दो छः सात
3	तीन
4	चार
6	छः
2	दो
21617	दो एक छः एक सात
32Z76	तीन दो शून्य सात छः
5	पाँच
56414	पाँच छः चार एक चार
62O18OO	छः दो शून्य एक आठ शून्य शून्य
O77O	शून्य सात सात शून्य
98	नौ आठ
O	शून्य
437	चार तीन सात
9O598	नौ शून्य पाँच नौ आठ
71551Z3	सात एक पाँच पाँच एक शून्य तीन
66	छः छः
868Z6Z6	आठ छः आठ शून्य छः शून्य छः
Z	शून्य
7142	सात एक चार दो
8Z	आठ शून्य
Z	शून्य
6	छः
9OO6O	नौ शून्य शून्य छः शून्य
8O817	आठ शून्य आठ एक सात
2519199	दो पाँच एक नौ एक नौ नौ
8124	आठ एक दो चार
Z1	शून्य एक
5465	पाँच चार छः पाँच
44	चार चार
29Z	दो नौ शून्य
486	चार आठ छः
OO	शून्य शून्य
8	आठ
7	सात
3	तीन
5422889	पाँच चार दो दो आठ आठ नौ
7	सात
25	दो पाँच
672	छः सात दो
66113Z3	छः छः एक एक तीन शून्य तीन
Z452	शून्य चार पाँच दो
O834	शून्य आठ तीन चार
3Z5	तीन शून्य पाँच
3O	तीन शून्य
9	नौ
9	नौ
482	चार आठ दो
632	छः तीन दो
5363	पाँच तीन छः तीन
15Z	एक पाँच शून्य
785	सात आठ पाँच
53	पाँच तीन
Z858	शून्य आठ पाँच आठ
2	दो
8	आठ
O	शून्य
O4	शून्य चार
Z6Z	शून्य छः शून्य
3617	तीन छः एक सात
1	एक
896	आठ नौ छः
699O5	छः नौ नौ शून्य पाँच
4	चार
9Z4ZZ	नौ शून्य चार शून्य शून्य
5	पाँच
7Z	सात शून्य
O49	शून्य चार नौ
2OO9	दो शून्य शून्य नौ
62356	छः दो तीन पाँच छः
9544	नौ पाँच चार चार
91	नौ एक
3	तीन
52296O5	पाँच दो दो नौ छः शून्य पाँच
4	चार
6	छः
68175	छः आठ एक सात पाँच
12Z5Z14	एक दो शून्य पाँच शून्य एक चार
2	दो
83	आठ तीन
5	पाँच
6553124	छः पाँच पाँच तीन एक दो चार
41	चार एक
5928872	पाँच नौ दो आठ आठ सात दो
3ZZ75	तीन शून्य शून्य सात पाँच
O8359	शून्य आठ तीन पाँच नौ
15	एक पाँच
6Z9	छः शून्य नौ
O	शून्य
Z	शून्य
219	दो एक नौ
984	नौ आठ चार
2263791	दो दो छः तीन सात नौ एक
Z	शून्य
6	छः
O793	शून्य सात नौ तीन
45Z	चार पाँच शून्य
8O	आठ शून्य
132	एक तीन दो
7465O61	सात चार छः पाँच शून्य छः एक
425694O	चार दो पाँच छः नौ चार शून्य
Z385867	शून्य तीन आठ पाँच आठ छः सात
97O1	नौ सात शून्य एक
51Z	पाँच एक शून्य
82O11	आठ दो शून्य एक एक
38	तीन आठ
O3O984O	शून्य तीन शून्य नौ आठ चार शून्य
39364	तीन नौ तीन छः चार
ZZ66Z	शून्य शून्य छः छः शून्य
34O311O	तीन चार शून्य तीन एक एक शून्य
8	आठ
7	सात
3	तीन
OO27	शून्य शून्य दो सात
489Z2	चार आठ नौ शून्य दो
7O2	सात शून्य दो
7	सात
55	पाँच पाँच
9	नौ
2453	दो चार पाँच तीन
9	नौ
Z86	शून्य आठ छः
543Z	पाँच चार तीन शून्य
47478	चार सात चार सात आठ
8ZZ5	आठ शून्य शून्य पाँच
1Z	एक शून्य
2	दो
8	आठ
O	शून्य
14	एक चार
7376	सात तीन सात छः
28	दो आठ
721519O	सात दो एक पाँच एक नौ शून्य
Z299	शून्य दो नौ नौ
797O9	सात नौ सात शून्य नौ
5379	पाँच तीन सात नौ
8Z46	आठ शून्य चार छः
167	एक छः सात
1	एक
49ZZ6	चार नौ शून्य शून्य छः
ZZ	शून्य शून्य
4	चार
1834Z88	एक आठ तीन चार शून्य आठ आठ
O86	शून्य आठ छः
9542	नौ पाँच चार दो
5	पाँच
31	तीन एक
3351321	तीन तीन पाँच एक तीन दो एक
666O14O	छः छः छः शून्य एक चार शून्य
Z9	शून्य नौ
3	तीन
9678	नौ छः सात आठ
4	चार
6	छः
2	दो
Z2	शून्य दो
93846	नौ तीन आठ चार छः
77	सात सात
6323	छः तीन दो तीन
56	पाँच छः
5	पाँच
21O6941	दो एक शून्य छः नौ चार एक
5Z5Z7	पाँच शून्य पाँच शून्य सात
9O9	नौ शून्य नौ
61965	छः एक नौ छः पाँच
393O	तीन नौ तीन शून्य
O355	शून्य तीन पाँच पाँच
73ZZ4	सात तीन शून्य शून्य चार
O	शून्य
4764	चार सात छः चार
8O52OO5	आठ शून्य पाँच दो शून्य शून्य पाँच
16Z	एक छः शून्य
Z	शून्य
449	चार चार नौ
831	आठ तीन एक
99724O6	नौ नौ सात दो चार शून्य छः
4Z9	चार शून्य नौ
Z	शून्य
6	छः
8125	आठ एक दो पाँच
11Z	एक एक शून्य
784	सात आठ चार
4385926	चार तीन आठ पाँच नौ दो छः
7O237	सात शून्य दो तीन सात
Z275	शून्य दो सात पाँच
2445O	दो चार चार पाँच शून्य
Z7	शून्य सात
1O7OO14	एक शून्य सात शून्य शून्य एक चार
622	छः दो दो
OO	शून्य शून्य
8	आठ
2951Z89	दो नौ पाँच एक शून्य आठ नौ
7	सात
3	तीन
O4554	शून्य चार पाँच पाँच चार
7	सात
25	दो पाँच
OO43652	शून्य शून्य चार तीन छः पाँच दो
9	नौ
9	नौ
2	दो
8	आठ
8Z1	आठ शून्य एक
O	शून्य
3Z5Z	तीन शून्य पाँच शून्य
5857741	पाँच आठ पाँच सात सात चार एक
33	तीन तीन
68	छः आठ
58911	पाँच आठ नौ एक एक
28828	दो आठ आठ दो आठ
4635	चार छः तीन पाँच
1	एक
6366Z	छः तीन छः छः शून्य
8ZZZ5Z4	आठ शून्य शून्य शून्य पाँच शून्य चार
85OO3	आठ पाँच शून्य शून्य तीन
4	चार
O64	शून्य छः चार
882	आठ आठ दो
5	पाँच
76958	सात छः नौ पाँच आठ
O388	शून्य तीन आठ आठ
6516	छः पाँच एक छः
3O1O846	तीन शून्य एक शून्य आठ चार छः
Z5	शून्य पाँच
44O2	चार चार शून्य दो
49O	चार नौ शून्य
4OO76OO	चार शून्य शून्य सात छः शून्य शून्य
3	तीन
4	चार
6	छः
2	दो
23	दो तीन
48	चार आठ
2796	दो सात नौ छः
933	नौ तीन तीन
5	पाँच
92O	नौ दो शून्य
1O47	एक शून्य चार सात
7ZZ	सात शून्य शून्य
O9	शून्य नौ
5O2O	पाँच शून्य दो शून्य
Z1982	शून्य एक नौ आठ दो
255575Z	दो पाँच पाँच पाँच सात पाँच शून्य
O	शून्य
92	नौ दो
Z	शून्य
Z2273	शून्य दो दो सात तीन
59	पाँच नौ
69791ZZ	छः नौ सात नौ एक शून्य शून्य
87OO9	आठ सात शून्य शून्य नौ
13459	एक तीन चार पाँच नौ
32958	तीन दो नौ पाँच आठ
26	दो छः
574	पाँच सात चार
Z	शून्य
6	छः
1671281	एक छः सात एक दो आठ एक
547	पाँच चार सात
3Z	तीन शून्य
Z1172	शून्य एक एक सात दो
937O78O	नौ तीन सात शून्य सात आठ शून्य
6443	छः चार चार तीन
78362	सात आठ तीन छः दो
52335	पाँच दो तीन तीन पाँच
383	तीन आठ तीन
8	आठ
7	सात
7268612	सात दो छः आठ छः एक दो
3	तीन
Z673	शून्य छः सात तीन
7	सात
3O	तीन शून्य
9	नौ
9	नौ
96	नौ छः
1974	एक नौ सात चार
8689	आठ छः आठ नौ
629	छः दो नौ
O514O84	शून्य पाँच एक चार शून्य आठ चार
754	सात पाँच चार
2	दो
8	आठ
O	शून्य
O4	शून्य चार
1718O61	एक सात एक आठ शून्य छः एक
21139O1	दो एक एक तीन नौ शून्य एक
9526	नौ पाँच दो छः
6937153	छः नौ तीन सात एक पाँच तीन
1	एक
112O8O1	एक एक दो शून्य आठ शून्य एक
4	चार
O943	शून्य नौ चार तीन
5	पाँच
31	तीन एक
4519	चार पाँच एक नौ
5O61OO5	पाँच शून्य छः एक शून्य शून्य पाँच
78427	सात आठ चार दो सात
579Z918	पाँच सात नौ शून्य नौ एक आठ
175	एक सात पाँच
Z48Z57Z	शून्य चार आठ शून्य पाँच सात शून्य
5976	पाँच नौ सात छः
3	तीन
4	चार
6	छः
2	दो
7Z55	सात शून्य पाँच पाँच
Z9725	शून्य नौ सात दो पाँच
69Z66Z3	छः नौ शून्य छः छः शून्य तीन
6595Z	छः पाँच नौ पाँच शून्य
Z16	शून्य एक छः
5	पाँच
41921ZZ	चार एक नौ दो एक शून्य शून्य
9O4O1	नौ शून्य चार शून्य एक
688928Z	छः आठ आठ नौ दो आठ शून्य
2Z	दो शून्य
7734Z83	सात सात तीन चार शून्य आठ तीन
16472	एक छः चार सात दो
Z79	शून्य सात नौ
3814	तीन आठ एक चार
O	शून्य
OO718	शून्य शून्य सात एक आठ
29	दो नौ
Z	शून्य
331	तीन तीन एक
3936	तीन नौ तीन छः
49	चार नौ
Z	शून्य
6	छः
O3O	शून्य तीन शून्य
O22773O	शून्य दो दो सात सात तीन शून्य
45O	चार पाँच शून्य
56461	पाँच छः चार छः एक
8O	आठ शून्य
85632	आठ पाँच छः तीन दो
6Z153	छः शून्य एक पाँच तीन
51	पाँच एक
8	आठ
7	सात
8674	आठ छः सात चार
3	तीन
O7898	शून्य सात आठ नौ आठ
7	सात
13	एक तीन
262	दो छः दो
9	नौ
9	नौ
99O6	नौ नौ शून्य छः
7Z375	सात शून्य तीन सात पाँच
96	नौ छः
21	दो एक
987O	नौ आठ सात शून्य
344	तीन चार चार
2394	दो तीन नौ चार
129	एक दो नौ
2	दो
8	आठ
O	शून्य
8676633	आठ छः सात छः छः तीन तीन
74	सात चार
Z8	शून्य आठ
811	आठ एक एक
42Z	चार दो शून्य
2Z77	दो शून्य सात सात
46235	चार छः दो तीन पाँच
1	एक
5389Z65	पाँच तीन आठ नौ शून्य छः पाँच
O859792	शून्य आठ पाँच नौ सात नौ दो
285O549	दो आठ पाँच शून्य पाँच चार नौ
4	चार
3491O7O	तीन चार नौ एक शून्य सात शून्य
5	पाँच
373	तीन सात तीन
4Z98Z72	चार शून्य नौ आठ शून्य सात दो
3	तीन
4	चार
6	छः
22742	दो दो सात चार दो
2	दो
6384	छः तीन आठ चार
77	सात सात
884Z8	आठ आठ चार शून्य आठ
1ZZ	एक शून्य शून्य
6861731	छः आठ छः एक सात तीन एक
5	पाँच
932	नौ तीन दो
Z4	शून्य चार
24	दो चार
82	आठ दो
87194	आठ सात एक नौ चार
O9	शून्य नौ
751	सात पाँच एक
783	सात आठ तीन
95Z3	नौ पाँच शून्य तीन
O	शून्य
79913O6	सात नौ नौ एक तीन शून्य छः
Z	शून्य
Z3	शून्य तीन
815522Z	आठ एक पाँच पाँच दो दो शून्य
55618	पाँच पाँच छः एक आठ
4129	चार एक दो नौ
3OO67	तीन शून्य शून्य छः सात
Z	शून्य
6	छः
6Z	छः शून्य
927	नौ दो सात
76Z	सात छः शून्य
545	पाँच चार पाँच
578242O	पाँच सात आठ दो चार दो शून्य
43Z	चार तीन शून्य
1535	एक पाँच तीन पाँच
Z5ZZZ	शून्य पाँच शून्य शून्य शून्य
Z2581	शून्य दो पाँच आठ एक
448	चार चार आठ
1962	एक नौ छः दो
98Z8Z	नौ आठ शून्य आठ शून्य
OO	शून्य शून्य
63	छः तीन
64O9	छः चार शून्य नौ
8	आठ
166O17O	एक छः छः शून्य एक सात शून्य
O26	शून्य दो छः
7	सात
3	तीन
8746	आठ सात चार छः
7	सात
O37O	शून्य तीन सात शून्य
9	नौ
9	नौ
59Z5	पाँच नौ शून्य पाँच
1Z	एक शून्य
Z69ZZ93	शून्य छः नौ शून्य शून्य नौ तीन
2	दो
8	आठ
O	शून्य
297Z4	दो नौ सात शून्य चार
9O14	नौ शून्य एक चार
33	तीन तीन
36765	तीन छः सात छः पाँच
762O8	सात छः दो शून्य आठ
459Z	चार पाँच नौ शून्य
1	एक
82858	आठ दो आठ पाँच आठ
9O549	नौ शून्य पाँच चार नौ
19	एक नौ
4	चार
1178432	एक एक सात आठ चार तीन दो
5	पाँच
Z4528	शून्य चार पाँच दो आठ
862441Z	आठ छः दो चार चार एक शून्य
61486	छः एक चार आठ छः
711	सात एक एक
2Z71	दो शून्य सात एक
Z5	शून्य पाँच
34	तीन चार
91	नौ एक
Z5Z	शून्य पाँच शून्य
3	तीन
9O	नौ शून्य
4	चार
6	छः
2	दो
7936	सात नौ तीन छः
5278	पाँच दो सात आठ
8OO12	आठ शून्य शून्य एक दो
5163355	पाँच एक छः तीन तीन पाँच पाँच
3ZZ7Z19	तीन शून्य शून्य सात शून्य एक नौ
267	दो छः सात
5	पाँच
181Z6	एक आठ एक शून्य छः
3567	तीन पाँच छः सात
751	सात पाँच एक
472	चार सात दो
54O15	पाँच चार शून्य एक पाँच
O	शून्य
1889538	एक आठ आठ नौ पाँच तीन आठ
29	दो नौ
O813	शून्य आठ एक तीन
5857	पाँच आठ पाँच सात
Z	शून्य
8Z	आठ शून्य
1O	एक शून्य
Z	शून्य
6	छः
393	तीन नौ तीन
OO27O2O	शून्य शून्य दो सात शून्य दो शून्य
4268OO9	चार दो छः आठ शून्य शून्य नौ
6Z	छः शून्य
Z614773	शून्य छः एक चार सात सात तीन
4132	चार एक तीन दो
O74O9	शून्य सात चार शून्य नौ
23Z2429	दो तीन शून्य दो चार दो नौ
8	आठ
6925	छः नौ दो पाँच
7	सात
3	तीन
66Z	छः छः शून्य
34377	तीन चार तीन सात सात
7	सात
8763	आठ सात छः तीन
2O483O4	दो शून्य चार आठ तीन शून्य चार
99	नौ नौ
9	नौ
498	चार नौ आठ
9	नौ
6O	छः शून्य
Z216Z	शून्य दो एक छः शून्य
OO73	शून्य शून्य सात तीन
2	दो
5575O39	पाँच पाँच सात पाँच शून्य तीन नौ
8	आठ
O	शून्य
946	नौ चार छः
74O	सात चार शून्य
O65	शून्य छः पाँच
1Z51	एक शून्य पाँच एक
73O74O1	सात तीन शून्य सात चार शून्य एक
1	एक
O7	शून्य सात
4	चार
265	दो छः पाँच
1642	एक छः चार दो
55769	पाँच पाँच सात छः नौ
O482	शून्य चार आठ दो
5	पाँच
21382	दो एक तीन आठ दो
67639	छः सात छः तीन नौ
84	आठ चार
Z9	शून्य नौ
8672ZZ5	आठ छः सात दो शून्य शून्य पाँच
3	तीन
85	आठ पाँच
4	चार
6	छः
2	दो
426	चार दो छः
738O3	सात तीन आठ शून्य तीन
Z875	शून्य आठ सात पाँच
894	आठ नौ चार
493	चार नौ तीन
3Z7Z222	तीन शून्य सात शून्य दो दो दो
83	आठ तीन
56	पाँच छः
361	तीन छः एक
5	पाँच
O5781	शून्य पाँच सात आठ एक
9ZZ8	नौ शून्य शून्य आठ
95O8O	नौ पाँच शून्य आठ शून्य
4472128	चार चार सात दो एक दो आठ
6O2	छः शून्य दो
O	शून्य
